Freq.	Z11(v2)	Z12(v2)	Z21(v2)	Z22(v2)
2.00000000000000e+003	5.92549382943053e+003,-1.59679377485204e+003	1.06411876070000e-001,5.84946202143986e-003	-6.65208019461583e+003,-1.35434695828667e+004	1.99931370013246e+002,-7.99635734023356e+001
2.51785082358833e+003	5.64646123214737e+003,-1.83528250412576e+003	1.04747495131872e-001,8.19937591571846e-003	-9.17389573693503e+003,-1.58029633399169e+004	1.99915598625100e+002,-6.36891529385757e+001
3.16978638492223e+003	5.27857805525653e+003,-2.05208201964379e+003	1.02559784915392e-001,1.17088572870622e-002	-1.24986418082498e+004,-1.78245772108278e+004	1.99894671505898e+002,-5.07998747154424e+001
3.99052462993776e+003	4.82906821022622e+003,-2.20778121068814e+003	9.99010165688811e-002,1.68731959573887e-002	-1.65609269576963e+004,-1.92553893532023e+004	1.99868812267099e+002,-4.06065470481814e+001
5.02377286301916e+003	4.32817451219677e+003,-2.26668149078608e+003	9.69678149805426e-002,2.42335270210414e-002	-2.10872418418595e+004,-1.97739835723315e+004	1.99839403772624e+002,-3.25639265366870e+001
6.32455532033676e+003	3.82422674877324e+003,-2.21291107881981e+003	9.40742173765414e-002,3.42964732644768e-002	-2.56405045766221e+004,-1.92361697474991e+004	1.99808659557666e+002,-2.62426655961601e+001
7.96214341106995e+003	3.36670208016119e+003,-2.05882645524171e+003	9.15537384924659e-002,4.75049326511595e-002	-2.97731207822778e+004,-1.77508857769721e+004	1.99778603877050e+002,-2.13069499079609e+001
1.00237446725454e+004	2.98844609980928e+003,-1.83819899654545e+003	8.96590511579554e-002,6.43064787101740e-002	-3.31875996831219e+004,-1.56184718227520e+004	1.99749951569601e+002,-1.74961977936524e+001
1.26191468896039e+004	2.69914541869588e+003,-1.59031120368339e+003	8.85340514186524e-002,8.52835331977032e-002	-3.57954225935742e+004,-1.31866685449088e+004	1.99721517847298e+002,-1.46101977591279e+001
1.58865646944856e+004	2.49069585312026e+003,-1.34697026897387e+003	8.82646782738771e-002,1.11274004000598e-001	-3.76683141911902e+004,-1.07328652337044e+004	1.99690143553229e+002,-1.24975878505579e+001
